Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-04-01,CADILAHC,EQ,347.05,348.95,352.6,343.15,344.2,344.25,347.7,1190335,41387984600000.0,15180,277449,0.2331
2019-04-02,CADILAHC,EQ,344.25,346.3,348.7,342.3,343.15,344.05,345.36,778319,26879656595000.0,14513,310497,0.39890000000000003
2019-04-03,CADILAHC,EQ,344.05,345.8,346.25,337.55,338.8,338.75,341.69,609970,20842208210000.0,8929,212203,0.3479
2019-04-04,CADILAHC,EQ,338.75,339.7,346.0,337.45,345.7,344.4,341.84,554711,18962237160000.0,13229,170565,0.3075
2019-04-05,CADILAHC,EQ,344.4,346.15,348.95,343.4,344.55,345.4,346.01,749516,25933970930000.0,14063,168513,0.2248
2019-04-08,CADILAHC,EQ,345.4,346.0,350.0,340.3,342.7,342.45,345.63,1622334,56072210400000.0,12334,982989,0.6059
2019-04-09,CADILAHC,EQ,342.45,342.5,344.5,339.05,341.5,341.6,341.52,445165,15203306669999.998,9713,120818,0.27140000000000003
2019-04-10,CADILAHC,EQ,341.6,340.6,348.9,339.25,343.0,343.4,344.57,998246,34396124445000.0,22144,424091,0.42479999999999996
2019-04-11,CADILAHC,EQ,343.4,344.9,346.35,342.45,345.0,345.1,344.78,590665,20364876005000.0,10362,254115,0.4302
2019-04-12,CADILAHC,EQ,345.1,343.25,347.15,341.2,341.5,341.9,343.89,501500,17246275119999.998,6040,124971,0.24920000000000003
2019-04-15,CADILAHC,EQ,341.9,341.55,344.2,338.8,340.8,341.0,341.47,508153,17351844565000.0,9204,205195,0.40380000000000005
2019-04-16,CADILAHC,EQ,341.0,341.05,342.8,336.9,337.35,337.9,339.23,951058,32262311085000.004,29535,442029,0.4648
2019-04-18,CADILAHC,EQ,337.9,339.65,340.4,334.25,336.9,336.5,336.93,896846,30217793900000.0,26966,369980,0.41250000000000003
2019-04-22,CADILAHC,EQ,336.5,332.0,335.8,329.35,330.1,330.7,332.96,459004,15282839819999.998,10324,198437,0.43229999999999996
2019-04-23,CADILAHC,EQ,330.7,332.0,333.4,327.85,328.1,328.75,329.71,512716,16904695890000.0,15815,195803,0.38189999999999996
2019-04-24,CADILAHC,EQ,328.75,329.6,330.8,326.1,329.0,329.55,328.26,807639,26511364860000.0,14421,401891,0.4976
2019-04-25,CADILAHC,EQ,329.55,329.55,331.35,323.0,324.3,323.95,327.2,1722880,56371824090000.0,19744,1042530,0.6051
2019-04-26,CADILAHC,EQ,323.95,325.0,331.25,324.95,327.6,328.0,328.53,1025254,33682649125000.0,19705,317540,0.3097
2019-04-30,CADILAHC,EQ,328.0,328.0,328.85,320.5,327.9,325.45,323.55,1221560,39522968240000.0,21622,615996,0.5043
2019-05-02,CADILAHC,EQ,325.45,323.85,324.3,313.2,313.75,314.9,318.49,1091370,34758892445000.0,18961,450382,0.41270000000000007
2019-05-03,CADILAHC,EQ,314.9,312.5,318.8,300.05,301.0,303.85,307.82,2044853,62944291154999.99,30028,762094,0.37270000000000003
2019-05-06,CADILAHC,EQ,303.85,293.0,311.45,292.85,307.45,307.45,304.63,4497822,137018021105000.0,41653,1389196,0.3089
2019-05-07,CADILAHC,EQ,307.45,307.0,310.0,297.25,299.5,299.2,303.12,1434753,43489900045000.0,17974,458491,0.3196
2019-05-08,CADILAHC,EQ,299.2,298.9,300.0,284.65,285.95,286.6,289.75,2044037,59225246785000.0,36072,572231,0.28
2019-05-09,CADILAHC,EQ,286.6,284.25,292.45,282.3,291.3,290.55,288.27,2109439,60809837160000.0,34433,701792,0.33270000000000005
2019-05-10,CADILAHC,EQ,290.55,288.0,294.9,286.65,289.0,289.25,289.9,917658,26603107400000.0,16890,146860,0.16
2019-05-13,CADILAHC,EQ,289.25,279.65,284.05,265.0,270.0,268.85,275.25,3848880,105940684215000.0,37286,1043150,0.271
2019-05-14,CADILAHC,EQ,268.85,268.0,269.0,259.4,261.2,260.65,263.56,2820073,74325525160000.0,39175,1199285,0.4253
2019-05-15,CADILAHC,EQ,260.65,263.0,264.55,255.1,259.7,260.45,261.15,2946302,76942624860000.0,27741,1404455,0.4767
2019-05-16,CADILAHC,EQ,260.45,260.2,261.0,241.75,256.05,257.7,250.2,8000269,200168796110000.0,84002,3049826,0.3812
2019-05-17,CADILAHC,EQ,257.7,257.7,260.2,247.2,250.05,249.65,250.5,4218861,105680852450000.0,63445,1819679,0.4313
2019-05-20,CADILAHC,EQ,249.65,251.05,257.45,248.0,250.0,250.55,251.59,3865005,97238044790000.0,36218,2174174,0.5625
2019-05-21,CADILAHC,EQ,250.55,251.7,255.0,243.0,244.8,244.75,246.92,3941548,97323651370000.0,56662,1609321,0.4083
2019-05-22,CADILAHC,EQ,244.75,244.4,251.65,242.1,250.2,250.35,247.66,3185013,78879933960000.0,54084,1404751,0.4411
2019-05-23,CADILAHC,EQ,250.35,253.0,255.7,248.7,249.95,250.3,251.88,4433569,111671190395000.0,33383,3084168,0.6956
2019-05-24,CADILAHC,EQ,250.3,249.05,256.8,247.65,252.3,252.8,252.33,3132312,79038649280000.0,34107,1712431,0.5467000000000001
2019-05-27,CADILAHC,EQ,252.8,254.6,259.75,253.0,255.05,255.0,255.48,2755381,70394145865000.0,30039,1317922,0.4783
