Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-04-01,CESC,EQ,730.65,731.6,740.0,722.95,725.0,725.1,731.98,199426,14597631194999.998,8118,60581,0.3038
2019-04-02,CESC,EQ,725.1,725.0,732.6,723.0,726.1,726.5,726.05,199914,14514843425000.0,6810,101985,0.5101
2019-04-03,CESC,EQ,726.5,727.0,733.55,704.0,705.7,706.75,718.22,162284,11655518210000.0,7174,54785,0.3376
2019-04-04,CESC,EQ,706.75,702.6,729.9,700.4,728.0,726.95,718.63,564223,40546841585000.0,14356,254674,0.4514
2019-04-05,CESC,EQ,726.95,731.45,741.3,725.0,732.0,732.0,733.18,551122,40407162455000.0,17333,154783,0.2809
2019-04-08,CESC,EQ,732.0,732.7,740.5,730.55,732.0,733.0,734.62,198882,14610191890000.0,5445,60227,0.3028
2019-04-09,CESC,EQ,733.0,732.9,743.05,725.3,730.0,729.35,732.28,428387,31369848189999.996,9390,211077,0.4927
2019-04-10,CESC,EQ,729.35,729.9,735.1,715.0,717.9,724.2,725.42,470215,34110322710000.004,10160,266117,0.5659000000000001
2019-04-11,CESC,EQ,724.2,721.0,727.05,711.0,713.65,715.65,718.3,345976,24851488380000.0,11416,142663,0.4123
2019-04-12,CESC,EQ,715.65,715.65,729.05,715.0,728.0,726.55,722.78,98918,7149549225000.0,5719,23661,0.23920000000000002
2019-04-15,CESC,EQ,726.55,732.75,749.9,724.55,748.45,746.65,741.13,346628,25689543025000.0,10012,138899,0.4007
2019-04-16,CESC,EQ,746.65,752.0,755.0,740.45,743.1,744.15,748.17,385896,28871492614999.996,11177,119696,0.3102
2019-04-18,CESC,EQ,744.15,743.1,744.95,725.75,730.45,730.4,731.4,245183,17932708100000.0,8351,101793,0.4152
2019-04-22,CESC,EQ,730.4,727.5,728.95,695.1,699.55,698.05,710.43,298543,21209279035000.0,10119,88661,0.297
2019-04-23,CESC,EQ,698.05,703.4,705.9,686.55,687.5,689.2,696.57,373662,26028310905000.0,13394,159424,0.4267
2019-04-24,CESC,EQ,689.2,689.2,702.0,668.35,696.95,687.85,678.13,892738,60539071395000.01,15409,473448,0.5303
2019-04-25,CESC,EQ,687.85,690.0,705.25,685.1,688.0,688.6,698.65,448447,31330640420000.0,11578,184821,0.4121
2019-04-26,CESC,EQ,688.6,682.0,700.8,682.0,692.6,691.9,694.94,293326,20384251155000.0,8330,100798,0.3436
2019-04-30,CESC,EQ,691.9,695.0,701.9,691.45,701.0,701.25,698.8,474490,33157528150000.0,12100,294675,0.621
2019-05-02,CESC,EQ,701.25,701.0,706.6,690.25,692.9,693.25,699.62,365616,25579202795000.0,10111,138379,0.3785
2019-05-03,CESC,EQ,693.25,693.25,700.4,684.55,693.0,694.95,690.31,153909,10624422415000.0,4623,64180,0.41700000000000004
2019-05-06,CESC,EQ,694.95,691.5,697.6,680.1,693.95,695.6,689.08,202132,13928474455000.002,7473,77914,0.38549999999999995
2019-05-07,CESC,EQ,695.6,695.0,700.9,682.2,682.2,683.55,691.83,151254,10464151885000.0,7018,67731,0.44780000000000003
2019-05-08,CESC,EQ,683.55,686.9,686.9,669.0,672.0,670.2,675.5,254357,17181907415000.0,12431,142251,0.5593
2019-05-09,CESC,EQ,670.2,670.2,672.2,661.1,670.0,667.85,666.3,203595,13565449855000.002,6804,99568,0.489
2019-05-10,CESC,EQ,667.85,667.8,678.9,667.8,676.95,674.8,672.48,152857,10279365875000.0,5755,59882,0.3918
2019-05-13,CESC,EQ,674.8,672.0,677.45,651.25,651.25,654.35,667.71,247142,16501940890000.0,11003,118865,0.48100000000000004
2019-05-14,CESC,EQ,654.35,649.1,665.85,642.6,662.7,661.9,653.75,260575,17035064315000.0,14929,114463,0.4393
2019-05-15,CESC,EQ,661.9,664.9,669.9,650.0,653.2,651.8,659.73,161338,10643992825000.0,5539,61493,0.3811
2019-05-16,CESC,EQ,651.8,653.0,678.1,643.85,677.9,674.9,668.57,395951,26472202405000.0,11111,100806,0.2546
2019-05-17,CESC,EQ,674.9,675.4,679.65,647.2,650.0,663.05,666.43,819891,54640280654999.99,18275,175885,0.2145
2019-05-20,CESC,EQ,663.05,682.0,731.0,676.0,724.0,726.45,712.66,745565,53133566805000.0,28707,249013,0.334
2019-05-21,CESC,EQ,726.45,726.45,730.35,714.25,715.15,717.2,722.1,271451,19601450785000.0,10411,117198,0.43170000000000003
2019-05-22,CESC,EQ,717.2,718.0,725.85,711.05,723.05,720.25,719.0,181732,13066574750000.0,5833,46430,0.2555
2019-05-23,CESC,EQ,720.25,733.7,741.45,697.0,726.15,726.55,734.7,321531,23622755805000.0,15302,126125,0.3923
2019-05-24,CESC,EQ,726.55,724.35,745.0,724.35,745.0,743.25,739.37,610202,45116716525000.0,14901,104364,0.171
2019-05-27,CESC,EQ,743.25,736.0,757.9,736.0,747.0,748.15,748.4,382391,28618188025000.0,14462,107209,0.2804
2019-05-28,CESC,EQ,748.15,748.35,752.85,722.0,726.25,726.35,730.86,418167,30562126939999.996,14218,250157,0.5982000000000001
2019-05-29,CESC,EQ,726.35,730.4,734.4,723.0,728.0,728.15,729.59,180371,13159704230000.0,8446,54316,0.3011
2019-05-30,CESC,EQ,728.15,729.25,750.0,723.1,747.75,744.95,743.69,335059,24918165340000.0,11472,131211,0.39159999999999995
2019-05-31,CESC,EQ,744.95,748.0,755.8,739.0,744.0,744.85,746.13,373393,27860038960000.004,14498,194053,0.5197
2019-06-03,CESC,EQ,744.85,747.0,777.8,739.25,769.0,769.4,768.0,1257026,96539966515000.0,34226,296991,0.23629999999999998
2019-06-04,CESC,EQ,769.4,771.0,786.5,771.0,779.0,777.95,778.35,906040,70521694850000.0,26383,273919,0.3023
2019-06-06,CESC,EQ,777.95,780.0,784.65,750.7,760.0,761.75,770.38,540864,41667110460000.0,33161,227366,0.4204
2019-06-07,CESC,EQ,761.75,768.2,779.0,758.7,769.0,769.5,767.73,596374,45785400595000.0,14626,283579,0.4755
2019-06-10,CESC,EQ,769.5,774.25,779.0,761.1,768.0,765.5,769.2,298744,22979452575000.0,8379,157493,0.5272
2019-06-11,CESC,EQ,765.5,769.95,774.7,759.9,774.0,772.85,768.84,105920,8143604375000.0,4425,27988,0.26420000000000005
2019-06-12,CESC,EQ,772.85,768.2,771.6,755.7,758.95,759.45,762.32,143595,10946556690000.0,6063,46671,0.325
2019-06-13,CESC,EQ,759.45,757.05,763.75,751.8,760.0,758.45,758.12,167877,12727123385000.0,7394,65035,0.3874
2019-06-14,CESC,EQ,758.45,758.5,771.9,753.9,763.15,762.05,767.45,339790,26077278240000.0,16595,129885,0.3823
