Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-04-01,CESC,EQ,603.85,604.95,613.4,595.4,611.35,609.75,607.88,294334,17892119255000.0,21593,113813,0.38670000000000004
2015-04-06,CESC,EQ,609.75,610.0,617.95,605.55,611.55,611.15,612.68,457424,28025426960000.004,16431,229316,0.5013000000000001
2015-04-07,CESC,EQ,611.15,610.35,616.0,603.6,613.35,612.3,608.69,522894,31827867000000.0,21975,315448,0.6033
2015-04-08,CESC,EQ,612.3,618.0,622.45,607.0,616.4,616.75,617.13,351578,21697049400000.0,24869,144413,0.4108
2015-04-09,CESC,EQ,616.75,617.25,617.95,600.25,602.0,602.85,606.57,318485,19318258915000.0,9829,184137,0.5782
2015-04-10,CESC,EQ,602.85,605.5,606.2,596.3,598.2,599.1,600.29,390719,23454507350000.0,17097,198861,0.509
2015-04-13,CESC,EQ,599.1,601.9,610.0,599.3,605.5,605.15,604.83,529877,32048521364999.996,22261,322419,0.6085
2015-04-15,CESC,EQ,605.15,610.0,610.0,598.0,598.4,600.35,603.13,573747,34604366239999.996,24077,412300,0.7186
2015-04-16,CESC,EQ,600.35,600.0,602.9,582.0,586.35,588.05,589.67,535089,31552551450000.0,33824,324529,0.6065
2015-04-17,CESC,EQ,588.05,580.15,587.0,570.7,573.0,572.45,578.1,429312,24818611000000.0,24796,247168,0.5757
2015-04-20,CESC,EQ,572.45,572.1,572.1,540.0,543.0,543.8,552.32,509673,28150271030000.0,33573,233080,0.4573
2015-04-21,CESC,EQ,543.8,544.0,561.6,538.0,553.55,553.55,551.96,647956,35764447390000.0,26970,346259,0.5344
2015-04-22,CESC,EQ,553.55,559.5,564.85,541.0,552.4,552.6,555.45,435898,24212096365000.0,17255,241765,0.5546
2015-04-23,CESC,EQ,552.6,554.95,562.0,530.55,531.8,533.5,543.56,569429,30951904330000.0,34161,261769,0.4597
2015-04-24,CESC,EQ,533.5,534.7,552.35,525.0,539.1,540.7,538.54,431568,23241815640000.0,22046,139471,0.3232
2015-04-27,CESC,EQ,540.7,546.0,549.45,531.3,539.75,541.9,541.24,246062,13317966890000.0,9123,79469,0.32299999999999995
2015-04-28,CESC,EQ,541.9,545.0,550.7,537.95,545.6,543.45,543.34,268349,14580605044999.998,11397,123653,0.4608
2015-04-29,CESC,EQ,543.45,546.0,554.0,541.0,544.0,543.2,545.85,388920,21229096835000.0,22133,137338,0.3531
