Date,Price,Open,High,Low,Change ,change_percent
01/04/2019,7.272,7.356,7.356,7.271,-0.0101,-1.01
02/04/2019,7.271,7.28,7.288,7.255,-0.0001,-0.01
03/04/2019,7.348,7.271,7.348,7.229,0.0106,1.06
04/04/2019,7.353,7.352,7.362,7.316,0.0007,0.07
05/04/2019,7.4,7.374,7.411,7.374,0.0064,0.64
08/04/2019,7.374,7.411,7.418,7.373,-0.0035,-0.35
09/04/2019,7.367,7.363,7.379,7.356,-0.0009,-0.09
10/04/2019,7.371,7.381,7.381,7.362,0.0005,0.05
11/04/2019,7.409,7.383,7.41,7.38,0.0052,0.52
12/04/2019,7.392,7.411,7.414,7.387,-0.0023,-0.23
15/04/2019,7.39,7.39,7.404,7.376,-0.0003,-0.03
16/04/2019,7.42,7.412,7.43,7.408,0.0041,0.41
18/04/2019,7.474,7.455,7.497,7.455,0.0073,0.73
22/04/2019,7.473,7.489,7.495,7.46,-0.0001,-0.01
23/04/2019,7.424,7.429,7.436,7.421,-0.0066,-0.66
24/04/2019,7.451,7.441,7.477,7.441,0.0036,0.36
25/04/2019,7.408,7.436,7.446,7.405,-0.0058,-0.58
26/04/2019,7.414,7.395,7.421,7.387,0.0008,0.08
30/04/2019,7.386,7.411,7.411,7.386,-0.0038,-0.38
02/05/2019,7.397,7.372,7.401,7.369,0.0015,0.15
03/05/2019,7.394,7.403,7.403,7.365,-0.0004,-0.04
06/05/2019,7.382,7.417,7.424,7.381,-0.0016,-0.16
07/05/2019,7.375,7.392,7.392,7.37,-0.0009,-0.09
08/05/2019,7.397,7.387,7.4,7.371,0.003,0.3
09/05/2019,7.413,7.407,7.426,7.403,0.0022,0.22
10/05/2019,7.388,7.418,7.419,7.385,-0.0034,-0.34
13/05/2019,7.378,7.388,7.388,7.348,-0.0014,-0.14
14/05/2019,7.379,7.379,7.384,7.36,0.0001,0.01
15/05/2019,7.377,7.394,7.402,7.375,-0.0003,-0.03
16/05/2019,7.362,7.397,7.397,7.36,-0.002,-0.2
17/05/2019,7.286,7.287,7.309,7.275,-0.0103,-1.03
20/05/2019,7.303,7.293,7.312,7.286,0.0023,0.23
21/05/2019,7.26,7.302,7.308,7.26,-0.0059,-0.59
22/05/2019,7.239,7.232,7.244,7.191,-0.0029,-0.29
23/05/2019,7.226,7.22,7.239,7.203,-0.0018,-0.18
24/05/2019,7.167,7.226,7.228,7.162,-0.0082,-0.82
27/05/2019,7.149,7.177,7.179,7.135,-0.0025,-0.25
28/05/2019,7.125,7.127,7.143,7.116,-0.0034,-0.34
29/05/2019,7.133,7.135,7.139,7.127,0.0011,0.11
30/05/2019,7.032,7.075,7.077,7.03,-0.0142,-1.42
31/05/2019,6.982,6.949,7.001,6.941,-0.0071,-0.71
03/06/2019,7.022,6.979,7.024,6.977,0.0057,0.57
04/06/2019,6.931,7.012,7.012,6.876,-0.013,-1.3
06/06/2019,6.974,6.951,6.984,6.948,0.0062,0.62
07/06/2019,7.077,6.984,7.087,6.983,0.0148,1.48
10/06/2019,7.037,7.083,7.097,7.036,-0.0057,-0.57
11/06/2019,7.012,7.022,7.025,6.995,-0.0036,-0.36
12/06/2019,7.009,6.989,7.028,6.965,-0.0004,-0.04
13/06/2019,6.919,6.993,6.997,6.914,-0.0128,-1.28
14/06/2019,6.931,6.933,6.947,6.915,0.0017,0.17
17/06/2019,6.808,6.912,6.92,6.808,-0.0177,-1.77
18/06/2019,6.841,6.831,6.849,6.817,0.0048,0.48
19/06/2019,6.791,6.769,6.791,6.734,-0.0073,-0.73
20/06/2019,6.861,6.825,6.893,6.825,0.0103,1.03
21/06/2019,6.851,6.84,6.883,6.811,-0.0015,-0.15
24/06/2019,6.882,6.838,6.896,6.837,0.0045,0.45
25/06/2019,6.933,6.917,6.942,6.917,0.0074,0.74
26/06/2019,6.897,6.957,6.957,6.88,-0.0052,-0.52
27/06/2019,6.879,6.888,6.9,6.87,-0.0026,-0.26
28/06/2019,6.882,6.906,6.93,6.882,0.0004,0.04
01/07/2019,6.846,6.86,6.876,6.829,-0.0052,-0.52
02/07/2019,6.833,6.809,6.835,6.804,-0.0019,-0.19
03/07/2019,6.751,6.837,6.849,6.751,-0.012,-1.2
04/07/2019,6.695,6.755,6.766,6.576,-0.0083,-0.83
05/07/2019,6.562,6.713,6.713,6.562,-0.0199,-1.99
08/07/2019,6.588,6.555,6.61,6.555,0.004,0.4
09/07/2019,6.543,6.588,6.61,6.516,-0.0068,-0.68
10/07/2019,6.493,6.558,6.562,6.487,-0.0076,-0.76
11/07/2019,6.488,6.528,6.541,6.457,-0.0008,-0.08
12/07/2019,6.433,6.459,6.467,6.43,-0.0085,-0.85
15/07/2019,6.331,6.413,6.413,6.317,-0.0159,-1.59
16/07/2019,6.345,6.281,6.413,6.266,0.0022,0.22
17/07/2019,6.387,6.31,6.402,6.31,0.0066,0.66
18/07/2019,6.361,6.383,6.385,6.348,-0.0041,-0.41
19/07/2019,6.418,6.424,6.453,6.406,0.009,0.9
22/07/2019,6.464,6.452,6.477,6.408,0.0072,0.72
23/07/2019,6.438,6.476,6.479,6.425,-0.004,-0.4
24/07/2019,6.514,6.441,6.551,6.422,0.0118,1.18
25/07/2019,6.525,6.538,6.556,6.506,0.0017,0.17
26/07/2019,6.412,6.452,6.46,6.412,-0.0173,-1.73
29/07/2019,6.387,6.416,6.437,6.379,-0.0039,-0.39
30/07/2019,6.369,6.403,6.403,6.359,-0.0028,-0.28
31/07/2019,6.423,6.394,6.432,6.384,0.0085,0.85
01/08/2019,6.352,6.333,6.361,6.324,-0.0111,-1.11
02/08/2019,6.39,6.367,6.423,6.361,0.006,0.6
05/08/2019,6.338,6.361,6.381,6.325,-0.0081,-0.81
06/08/2019,6.369,6.314,6.398,6.296,0.0049,0.49
07/08/2019,6.402,6.381,6.404,6.364,0.0052,0.52
08/08/2019,6.494,6.404,6.523,6.399,0.0144,1.44
09/08/2019,6.518,6.503,6.538,6.496,0.0037,0.37
13/08/2019,6.62,6.541,6.639,6.523,0.0156,1.56
14/08/2019,6.535,6.584,6.596,6.527,-0.0128,-1.28
16/08/2019,6.581,6.553,6.596,6.549,0.007,0.7
19/08/2019,6.578,6.584,6.627,6.572,-0.0005,-0.05
20/08/2019,6.56,6.583,6.583,6.534,-0.0027,-0.27
21/08/2019,6.554,6.585,6.586,6.531,-0.0009,-0.09
22/08/2019,6.564,6.567,6.578,6.551,0.0015,0.15
23/08/2019,6.472,6.501,6.526,6.472,-0.014,-1.4
26/08/2019,6.521,6.393,6.53,6.391,0.0076,0.76
27/08/2019,6.564,6.518,6.576,6.501,0.0066,0.66
28/08/2019,6.543,6.571,6.624,6.537,-0.0032,-0.32
29/08/2019,6.556,6.562,6.582,6.553,0.002,0.2
30/08/2019,6.516,6.498,6.529,6.488,-0.0061,-0.61
03/09/2019,6.545,6.502,6.547,6.499,0.0045,0.45
04/09/2019,6.571,6.597,6.597,6.555,0.004,0.4
05/09/2019,6.597,6.595,6.603,6.574,0.004,0.4
06/09/2019,6.57,6.606,6.606,6.563,-0.0041,-0.41
09/09/2019,6.674,6.606,6.675,6.595,0.0158,1.58
11/09/2019,6.658,6.669,6.705,6.631,-0.0024,-0.24
12/09/2019,6.631,6.666,6.674,6.607,-0.0041,-0.41
13/09/2019,6.71,6.723,6.746,6.683,0.0119,1.19
16/09/2019,6.728,6.728,6.737,6.7,0.0027,0.27
