Date,Price,Open,High,Low,change,change_percent
Apr-15,7.86,7.722,7.873,7.711,0.015800,1.5800
May-15,7.815,7.875,8.007,7.809,-0.005700,-0.5700
Jun-15,7.861,7.815,8.017,7.689,0.005900,0.5900
Jul-15,7.806,7.865,7.909,7.725,-0.007000,-0.7000
Aug-15,7.784,7.788,7.911,7.712,-0.002800,-0.2800
Sep-15,7.539,7.793,7.803,7.527,-0.031500,-3.1500
Oct-15,7.64,7.527,7.648,7.496,0.013400,1.3400
Nov-15,7.786,7.64,7.788,7.61,0.019100,1.9100
Dec-15,7.758,7.785,7.818,7.686,-0.003600,-0.3600
Jan-16,7.779,7.754,7.832,7.707,0.002700,0.2700
Feb-16,7.623,7.793,7.879,7.617,-0.020100,-2.0100
Mar-16,7.459,7.63,7.672,7.453,-0.021500,-2.1500
Apr-16,7.435,7.451,7.496,7.353,-0.003200,-0.3200
May-16,7.471,7.439,7.499,7.419,0.004800,0.4800
Jun-16,7.448,7.473,7.546,7.421,-0.003100,-0.3100
Jul-16,7.163,7.441,7.441,7.161,-0.038300,-3.8300
Aug-16,7.11,7.138,7.225,7.074,-0.007400,-0.7400
Sep-16,6.958,7.104,7.126,6.91,-0.021400,-2.1400
Oct-16,6.885,6.956,6.956,6.783,-0.010500,-1.0500
Nov-16,6.243,6.873,6.929,6.113,-0.093200,-9.3200
Dec-16,6.512,6.257,6.62,6.169,0.043100,4.3100
Jan-17,6.407,6.483,6.494,6.294,-0.016100,-1.6100
Feb-17,6.87,6.403,6.953,6.376,0.072300,7.2300
Mar-17,6.658,6.898,6.932,6.665,-0.030900,-3.0900
Apr-17,6.961,6.658,6.983,6.554,0.045500,4.5500
May-17,6.661,6.968,6.994,6.653,-0.043100,-4.3100
Jun-17,6.511,6.649,6.672,6.419,-0.022500,-2.2500
Jul-17,6.465,6.61,6.618,6.404,-0.007100,-0.7100
Aug-17,6.525,6.466,6.576,6.419,0.009300,0.9300
Sep-17,6.663,6.492,6.71,6.477,0.021100,2.1100
Oct-17,6.862,6.674,6.898,6.625,0.029900,2.9900
Nov-17,7.058,6.879,7.084,6.847,0.028600,2.8600
Dec-17,7.326,7.088,7.41,7.012,0.038000,3.8000
Jan-18,7.43,7.349,7.587,7.243,0.014200,1.4200
Feb-18,7.726,7.446,7.816,7.399,0.039800,3.9800
Mar-18,7.398,7.726,7.8,7.286,-0.042500,-4.2500
Apr-18,7.767,7.333,7.797,7.123,0.049900,4.9900
May-18,7.826,7.731,7.945,7.553,0.007600,0.7600
Jun-18,7.903,7.86,8,7.769,0.009800,0.9800
Jul-18,7.772,7.889,7.917,7.723,-0.016600,-1.6600
Aug-18,7.951,7.767,7.958,7.681,0.023000,2.3000
Sep-18,8.024,7.94,8.231,7.917,0.009200,0.9200
Oct-18,7.853,7.923,8.21,7.797,-0.021300,-2.1300
Nov-18,7.607,7.831,7.84,7.576,-0.031300,-3.1300
Dec-18,7.37,7.646,7.703,7.218,-0.031200,-3.1200
Jan-19,7.483,7.401,7.65,7.35,0.015300,1.5300
Feb-19,7.591,7.47,7.699,7.425,0.014400,1.4400
Mar-19,7.346,7.588,7.59,7.301,-0.032300,-3.2300
Apr-19,7.414,7.356,7.497,7.229,0.009300,0.9300
May-19,7.032,7.411,7.426,7.03,-0.051500,-5.1500
Jun-19,6.879,6.949,7.097,6.734,-0.021800,-2.1800
Jul-19,6.369,6.906,6.93,6.266,-0.074100,-7.4100
Aug-19,6.556,6.394,6.639,6.296,0.029400,2.9400
Sep-19,6.695,6.498,6.874,6.488,0.021200,2.1200
Oct-19,6.643,6.68,6.739,6.582,-0.007800,-0.7800
Nov-19,6.46,6.431,6.574,6.415,-0.027500,-2.7500
Dec-19,6.554,6.463,6.837,6.448,0.014600,1.4600
Jan-20,6.599,6.548,6.692,6.485,0.006900,0.6900
Feb-20,6.371,6.509,6.52,6.326,-0.034600,-3.4600
Mar-20,6.138,6.371,6.449,5.995,-0.036600,-3.6600
